epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4221.38,1.08147,4.81575,1.55081,0.37496,0.17341,0.14747,0.10912,0.99493,4.57575,1.5882,4.38321e-05,4.38321e-05,4.38321e-05
2,7237.81,1.0233,3.28047,1.47256,0.44607,0.37775,0.33938,0.23897,1.00529,3.13118,1.58257,8.6093e-05,8.6093e-05,8.6093e-05
3,9994.06,1.04675,2.74014,1.47315,0.45043,0.43007,0.41538,0.28741,1.03281,2.58642,1.62103,0.000126612,0.000126612,0.000126612
4,12793.3,1.03608,2.40402,1.45642,0.54955,0.47832,0.49869,0.34492,1.06975,2.2845,1.63994,0.000124159,0.000124159,0.000124159
