epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,6602.18,0.67573,0.69173,1.17752,0.80647,0.76419,0.828,0.62981,0.89248,0.89649,1.45665,3.00696e-05,3.00696e-05,3.00696e-05
41,6773.3,0.5239,0.3991,1.1156,0.83651,0.75263,0.81945,0.62271,0.90067,0.89884,1.47816,2.7456e-05,2.7456e-05,2.7456e-05
42,6907.72,0.51559,0.38495,1.10591,0.83322,0.75582,0.82862,0.62706,0.89381,0.88937,1.48708,2.48424e-05,2.48424e-05,2.48424e-05
43,7041.53,0.50033,0.36683,1.10039,0.8119,0.78236,0.83227,0.62975,0.90352,0.87695,1.48858,2.22288e-05,2.22288e-05,2.22288e-05
44,7175.66,0.48986,0.35447,1.0893,0.80924,0.77823,0.83393,0.63771,0.8832,0.88023,1.47042,1.96152e-05,1.96152e-05,1.96152e-05
45,7309.74,0.47884,0.33784,1.0732,0.81853,0.75701,0.82186,0.62767,0.88407,0.9059,1.47706,1.70016e-05,1.70016e-05,1.70016e-05
46,7443.19,0.46885,0.32442,1.06708,0.81479,0.76479,0.82433,0.63071,0.88935,0.87909,1.47947,1.4388e-05,1.4388e-05,1.4388e-05
47,7577.08,0.45959,0.31808,1.05795,0.84402,0.75832,0.82869,0.63616,0.87954,0.8735,1.47446,1.17744e-05,1.17744e-05,1.17744e-05
48,7711.09,0.46061,0.32578,1.05856,0.83811,0.7519,0.83079,0.63615,0.88563,0.86248,1.47975,9.1608e-06,9.1608e-06,9.1608e-06
49,7844.99,0.4504,0.3073,1.05016,0.83827,0.7532,0.83019,0.63637,0.87965,0.87415,1.4794,6.5472e-06,6.5472e-06,6.5472e-06
50,7978.93,0.4461,0.30401,1.04361,0.84457,0.75762,0.8326,0.63736,0.8792,0.86879,1.48379,3.9336e-06,3.9336e-06,3.9336e-06
